mes,imacec_acumulado_anual,imacec_sa_anual,ipc_acumulado_diciembre,ipc_anual
2011-12,6.213466118207411,6.818181818181812,4.436270742697057,4.436270742697057
2012-12,6.155727680391343,4.255319148936176,1.4823520514662514,1.4823520514662514
2013-12,3.312211981566815,1.814058956916087,3.034448053589922,3.034448053589922
2014-12,1.7749279806709595,2.4498886414253906,4.6555713511488905,4.6555713511488905
2015-12,2.1639883126369552,1.8478260869565277,4.403957518075896,4.403957518075896
2016-12,1.7517204397175634,1.2806830309498363,2.709863079698138,2.709863079698138
2017-12,1.3438735177865535,3.3719704952581475,2.2740333655833167,2.2740333655833167
2018-12,4.004160166406656,2.3445463812436396,2.574810125423399,2.574810125423399
2019-12,0.6333333333333302,-0.8964143426294924,2.999363013760581,2.999363013760581
2020-12,-6.136137793971508,0.20100502512563345,2.9920414035576437,2.9920414035576437
2021-12,11.345390383767096,8.926780341023054,7.188538621089702,7.188538621089702
2022-12,2.060058632438011,-1.7495395948434522,12.787140610277392,12.787140610277392
2023-12,0.690940144398744,1.5932521087160367,3.9584000257421925,3.9584000257421925
2024-12,2.7987663839629917,4.428044280442811,4.547492567168354,4.547492567168354
2025-12,2.452561314032864,0.6183745583038913,3.4545100405662943,3.4545100405662943
