fecha,ipc_anual,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio
1996-10-01,,,,,,,,44.1,43.7,43.03333333333333,,,,0.9237875288683695,1996-09-01,1996-11-01
1996-11-01,,,,,,,,44.5,43.8,45.23333333333333,,,,0.22883295194506825,1996-10-01,1996-12-01
1996-12-01,,,,,,,,47.1,44.0,45.56666666666666,,,,0.4566210045662267,1996-11-01,1997-01-01
1997-01-01,,,,,,,,45.1,44.9,45.13333333333333,,6.904761904761902,6.117647058823539,2.0454545454545503,1996-12-01,1997-02-01
1997-02-01,,,,,,,,43.2,44.8,45.166666666666664,5.529595015576305,5.411764705882338,5.4958183990442055,-0.22271714922049712,1997-01-01,1997-03-01
1997-03-01,,,,,,,,47.2,44.7,45.56666666666666,5.478395061728358,5.1764705882352935,5.529595015576327,-0.22321428571426827,1997-02-01,1997-04-01
1997-04-01,,,,,,,,46.3,45.2,46.800000000000004,6.444275966641411,6.103286384976525,5.636257989540949,1.118568232662187,1997-03-01,1997-05-01
1997-05-01,,,,,,,,46.9,46.1,45.93333333333334,6.738962044926433,8.21596244131455,6.076066790352486,1.9911504424778625,1997-04-01,1997-06-01
1997-06-01,,,,,,,,44.6,45.9,45.36666666666667,7.334384858044163,6.49651972157772,6.135922330097099,-0.4338394793926281,1997-05-01,1997-07-01
1997-07-01,,,,,,,,44.6,46.3,44.86666666666667,7.336523125996797,7.424593967517401,6.35664101706257,0.8714596949890963,1997-06-01,1997-08-01
1997-08-01,,,,,,,,45.4,46.8,44.73333333333333,8.225806451612883,8.333333333333325,6.539589442815252,1.0799136069114423,1997-07-01,1997-09-01
1997-09-01,,,,,,,,44.2,47.2,45.800000000000004,8.445146014206806,9.00692840646653,6.815203145478366,0.8547008547008739,1997-08-01,1997-10-01
1997-10-01,,,,,,,,47.8,47.4,46.86666666666667,8.907823392718829,8.466819221967947,6.978383458646609,0.4237288135593209,1997-09-01,1997-11-01
1997-11-01,,,,,,,,48.6,47.8,49.300000000000004,8.990420044215197,9.1324200913242,7.189959583067429,0.8438818565400741,1997-10-01,1997-12-01
1997-12-01,,,,,,,,51.5,48.1,49.5,8.63204096561816,9.318181818181825,7.385924207269912,0.6276150627615218,1997-11-01,1998-01-01
1998-01-01,,,,,,,,48.4,48.1,48.76666666666667,8.050221565731185,7.126948775055686,7.317073170731692,0.0,1997-12-01,1998-02-01
1998-02-01,,,,,,,,46.4,48.0,48.63333333333333,7.675276752767535,7.14285714285714,7.361268403170995,-0.20790020790021346,1998-01-01,1998-03-01
1998-03-01,,,,,,,,51.1,48.4,49.333333333333336,8.266276517922467,8.277404921700215,7.675276752767535,0.8333333333333304,1998-02-01,1998-04-01
1998-04-01,,,,,,,,50.5,49.3,50.36666666666667,7.621082621082609,9.07079646017699,8.030803080308036,1.8595041322313932,1998-03-01,1998-05-01
1998-05-01,,,,,,,,49.5,48.8,49.13333333333333,6.966618287372994,5.856832971800419,7.520769567118513,-1.0141987829614618,1998-04-01,1998-06-01
1998-06-01,,,,,,,,47.4,48.8,47.9,5.58412931667891,6.318082788671031,7.31796560556166,0.0,1998-05-01,1998-07-01
1998-07-01,,,,,,,,46.8,48.8,47.06666666666666,4.903417533432375,5.399568034557234,6.983328090594543,0.0,1998-06-01,1998-08-01
1998-08-01,,,,,,,,47.0,48.5,46.46666666666666,3.874813710879277,3.6324786324786418,6.551059730250475,-0.6147540983606481,1998-07-01,1998-09-01
1998-09-01,,,,,,,,45.6,48.6,46.76666666666667,2.1106259097525504,2.9661016949152463,6.1840490797546055,0.20618556701030855,1998-08-01,1998-10-01
1998-10-01,,,,,,,,47.7,47.4,47.0,0.2844950213371167,0.0,5.512848671205783,-2.4691358024691468,1998-09-01,1998-11-01
1998-11-01,,,,,,,,47.7,46.8,48.6,-1.4198782961460488,-2.092050209205021,4.802540186544957,-1.2658227848101333,1998-10-01,1998-12-01
1998-12-01,,,,,,,,50.4,47.0,48.46666666666667,-2.0875420875420825,-2.2869022869022926,4.159164566078499,0.42735042735042583,1998-11-01,1999-01-01
1999-01-01,,,,,,,,47.3,47.0,47.63333333333333,-2.323991797676017,-2.2869022869022926,-2.2727272727272707,0.0,1998-12-01,1999-02-01
1999-02-01,,,,,,,,45.2,47.0,47.4,-2.5359835503769745,-2.083333333333337,-2.4261603375527407,0.0,1999-01-01,1999-03-01
1999-03-01,,,,,,,,49.7,47.2,47.666666666666664,-3.3783783783783883,-2.4793388429751984,-2.5359835503769856,0.42553191489362874,1999-02-01,1999-04-01
1999-04-01,,,,,,,,48.1,46.8,48.56666666666666,-3.573792190602254,-5.070993914807298,-3.1059063136456233,-0.8474576271186529,1999-03-01,1999-05-01
1999-05-01,,,,,,,,47.9,47.1,47.53333333333334,-3.256445047489809,-3.483606557377039,-3.13135420902807,0.641025641025661,1999-04-01,1999-06-01
1999-06-01,,,,,,,,46.6,47.7,46.76666666666667,-2.366040361864985,-2.254098360655721,-2.8980565973406036,1.273885350318471,1999-05-01,1999-07-01
1999-07-01,,,,,,,,45.8,47.7,46.36666666666667,-1.487252124645888,-2.254098360655721,-2.7932960893854775,0.0,1999-06-01,1999-08-01
1999-08-01,,,,,,,,46.7,48.0,46.166666666666664,-0.6456241032998467,-1.0309278350515427,-2.5316455696202556,0.6289308176100628,1999-07-01,1999-09-01
1999-09-01,,,,,,,,46.0,48.9,47.43333333333334,1.425516749821809,0.6172839506172867,-2.1724058238964616,1.8750000000000044,1999-08-01,1999-10-01
1999-10-01,,,,,,,,49.6,49.0,48.800000000000004,3.82978723404257,3.3755274261603407,-1.561199000832636,0.2044989775051187,1999-09-01,1999-11-01
1999-11-01,,,,,,,,50.8,49.7,51.23333333333333,5.418381344307255,6.196581196581219,-0.8331755349365588,1.4285714285714235,1999-10-01,1999-12-01
1999-12-01,,,,,,,,53.3,49.8,51.36666666666667,5.983493810178819,5.957446808510625,-0.2592912705272288,0.2012072434607548,1999-11-01,2000-01-01
2000-01-01,,,,,,,,50.0,49.9,50.36666666666667,5.738278516445061,6.170212765957439,5.708245243128962,0.20080321285140812,1999-12-01,2000-02-01
2000-02-01,,,,,,,,47.8,49.9,50.199999999999996,5.907172995780585,6.170212765957439,5.729729729729716,0.0,2000-01-01,2000-03-01
2000-03-01,,,,,,,,52.8,49.9,50.666666666666664,6.2937062937062915,5.720338983050843,5.907172995780585,0.0,2000-02-01,2000-04-01
2000-04-01,,,,,,,,51.4,50.1,51.73333333333333,6.520247083047348,7.051282051282071,6.148187073042566,0.4008016032064132,2000-03-01,2000-05-01
2000-05-01,,,,,,,,51.0,50.3,50.300000000000004,5.820476858345014,6.794055201698512,6.213266162888331,0.39920159680637557,2000-04-01,2000-06-01
2000-06-01,,,,,,,,48.5,49.7,49.300000000000004,5.41696364932287,4.192872117400426,5.86376404494382,-1.1928429423459175,2000-05-01,2000-07-01
2000-07-01,,,,,,,,48.4,50.6,48.73333333333333,5.104241552839661,6.079664570230614,5.83787053841498,1.810865191146882,2000-06-01,2000-08-01
2000-08-01,,,,,,,,49.3,50.9,48.46666666666667,4.981949458483759,6.041666666666656,5.8043996819507,0.5928853754940677,2000-07-01,2000-09-01
2000-09-01,,,,,,,,47.7,50.9,49.53333333333333,4.427266338720992,4.089979550102241,5.575242145050785,0.0,2000-08-01,2000-10-01
2000-10-01,,,,,,,,51.6,51.1,50.56666666666667,3.6202185792349795,4.285714285714293,5.4134066398815905,0.39292730844793233,2000-09-01,2000-11-01
2000-11-01,,,,,,,,52.4,51.4,52.93333333333333,3.3181522446324108,3.420523138832987,5.193813251861745,0.5870841487279899,2000-10-01,2000-12-01
2000-12-01,,,,,,,,54.8,51.7,52.76666666666667,2.7255029201817216,3.81526104417671,4.974003466204513,0.5836575875486361,2000-11-01,2001-01-01
2001-01-01,,,,,,,,51.1,51.4,51.76666666666666,2.779616148246178,3.006012024048088,2.200000000000002,-0.5802707930367634,2000-12-01,2001-02-01
