ipc_anual,fecha,ipc_anual_original,ipc_mensual_original,ipc_indice_original,ipc_indice_sa,ipc_mensual_sa,ipc_anual_sa,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio,mes,ir_magnitud,ir_signo,alineacion_ene,pandemia,ipc_ajuste,ipc_acumulado_diciembre,distancia_meta_ipc_pp,distancia_referencia_nairu_pp
2.7273466120339096,2011-01-01,2.7,0.3,59.18,59.2103216265662,0.19885271713866448,2.7273466120339096,2.87855035732827,R,7.442769364665214,Dic - Feb,2011-01-01,2011-02-01,78.0,79.7,79.16666666666667,7.1267478574650545,7.2678331090175075,7.586206896551717,0.631313131313127,2010-12-01,2011-02-01,2011-01,2.87855035732827,Aumento,central,False,sa,,-0.2726533879660904,-0.8072306353347862
2.668068581581595,2011-02-01,2.7,0.2,59.31,59.35920161765,0.2514426319498497,2.668068581581595,3.05871431512763,R,7.5481165580962895,Ene - Mar,2011-02-01,2011-03-01,74.3,79.7,79.03333333333335,8.761467889908259,6.125166444740349,7.027406886858745,0.0,2011-01-01,2011-03-01,2011-02,3.05871431512763,Aumento,central,False,sa,,-0.3319314184184048,-0.7018834419037105
3.3681648693320465,2011-03-01,3.4,0.8,59.77,59.707053457929,0.5860116558164208,3.3681648693320465,2.84313893717416,R,7.211111860205037,Feb - Abr,2011-03-01,2011-04-01,84.8,80.6,80.5,8.150470219435736,11.634349030470892,8.761467889908259,1.1292346298619638,2011-02-01,2011-04-01,2011-03,2.84313893717416,Aumento,central,False,sa,,0.3681648693320465,-1.0388881397949632
3.2186632752331024,2011-04-01,3.2,0.3,59.96,59.8921143119708,0.30994806027766497,3.2186632752331024,2.63541504382701,R,7.304763451880472,Mar - May,2011-04-01,2011-05-01,82.4,81.2,83.39999999999999,8.40554592720968,6.282722513089012,8.012170385395523,0.7444168734491496,2011-03-01,2011-05-01,2011-04,2.63541504382701,Aumento,central,False,sa,,0.21866327523310236,-0.945236548119528
3.262673738838262,2011-05-01,3.3,0.4,60.2,60.1603233726751,0.4478203245710022,3.262673738838262,1.96706637561201,R,7.212255397048333,Abr - Jun,2011-05-01,2011-06-01,83.0,81.2,81.93333333333334,6.268914829226113,6.842105263157894,7.879924953095685,0.0,2011-04-01,2011-06-01,2011-05,1.96706637561201,Aumento,central,False,sa,,0.26267373883826206,-1.0377446029516673
3.433121155597063,2011-06-01,3.4,0.2,60.3,60.3708562232776,0.3499529902761811,3.433121155597063,2.24994137518066,R,7.553369301477564,May - Jul,2011-06-01,2011-07-01,80.4,81.1,80.2,5.71177504393674,5.736636245110804,7.478299577119962,-0.12315270935961964,2011-05-01,2011-07-01,2011-06,2.24994137518066,Aumento,central,False,sa,,0.4331211555970631,-0.6966306985224362
2.9235452806921414,2011-07-01,2.9,0.1,60.38,60.4304887111283,0.0987769456675558,2.9235452806921414,2.93311354981332,R,7.514649470764548,Jun - Ago,2011-07-01,2011-08-01,77.2,81.3,79.46666666666668,4.745166959578229,4.364569961489084,7.011845624761182,0.2466091245376223,2011-06-01,2011-08-01,2011-07,2.93311354981332,Aumento,central,False,sa,,-0.07645471930785863,-0.7353505292354523
3.1586024066059037,2011-08-01,3.2,0.2,60.47,60.5629698352736,0.21922894712731456,3.1586024066059037,2.79810817103912,R,7.626381175740099,Jul - Sep,2011-08-01,2011-09-01,80.8,81.8,78.89999999999999,4.503311258278142,4.737516005121645,6.692192442150802,0.6150061500614923,2011-07-01,2011-09-01,2011-08,2.79810817103912,Aumento,central,False,sa,,0.15860240660590375,-0.6236188242599008
3.280404721275021,2011-09-01,3.3,0.5,60.78,60.750422474967,0.309516921318842,3.280404721275021,2.62824066465168,R,7.4366909896982385,Ago - Oct,2011-09-01,2011-10-01,78.7,82.0,81.23333333333333,4.817204301075262,4.591836734693877,6.4812074578277645,0.24449877750611915,2011-08-01,2011-10-01,2011-09,2.62824066465168,Aumento,central,False,sa,,0.2804047212750209,-0.8133090103017615
3.6597438256154025,2011-10-01,3.7,0.5,61.07,60.9311244781276,0.29744978849333137,3.6597438256154025,2.11400809180744,R,7.3319133368942,Sep - Nov,2011-10-01,2011-11-01,84.2,82.7,83.10000000000001,4.791929382093341,5.350318471337578,6.3368170392908985,0.8536585365853666,2011-09-01,2011-11-01,2011-10,2.11400809180744,Aumento,central,False,sa,,0.6597438256154025,-0.9180866631058002
