fecha,ipc_anual,ir_real_anual,estado_ir,desocupacion,Trimestre,fecha_central_ene,fecha_final_ene,imacec_original,imacec_sa,imacec_promedio_3m,imacec_promedio_anual,imacec_sa_anual,imacec_acumulado_anual,imacec_sa_mensual,imacec_inicio_promedio,imacec_fin_promedio,mes,ir_magnitud,ir_signo,alineacion_ene,pandemia,ipc_acumulado_diciembre,distancia_meta_ipc_pp,distancia_referencia_nairu_pp
2011-11-01,3.9,2.09404114072804,R,6.8146096671283765,Oct - Dic,2011-11-01,2011-12-01,86.4,83.0,87.2,5.483870967741944,4.271356783919611,6.15311233007394,0.36275695284160303,2011-10-01,2011-12-01,2011-11,2.09404114072804,Aumento,central,False,,0.8999999999999999,-1.4353903328716235
2011-12-01,4.4,1.81404427905918,R,6.853915676547048,Nov - Ene,2011-12-01,2012-01-01,91.0,84.6,86.63333333333334,5.6933712891419574,6.818181818181812,6.213466118207411,1.9277108433734869,2011-11-01,2012-01-01,2011-12,1.81404427905918,Aumento,central,False,4.4,1.4000000000000004,-1.3960843234529516
2012-01-01,4.2,2.3205714148516,R,6.528372803742388,Dic - Feb,2012-01-01,2012-02-01,82.5,84.5,84.36666666666666,6.568421052631557,6.022584692597244,5.769230769230771,-0.11820330969266601,2011-12-01,2012-02-01,2012-01,2.3205714148516,Aumento,central,False,,1.2000000000000002,-1.7216271962576117
2012-02-01,4.4,1.82433025592217,R,6.797302896114809,Ene - Mar,2012-02-01,2012-03-01,79.6,85.2,83.8,6.031210459721614,6.900878293600998,6.434668417596834,0.8284023668639007,2012-01-01,2012-03-01,2012-02,1.82433025592217,Aumento,central,False,,1.4000000000000004,-1.4526971038851908
2012-03-01,3.8,2.70489651511365,R,6.763674290614601,Feb - Abr,2012-03-01,2012-04-01,89.3,85.9,85.5,6.211180124223592,6.575682382134018,6.0312104597216365,0.8215962441314506,2012-02-01,2012-04-01,2012-03,2.70489651511365,Aumento,central,False,,0.7999999999999998,-1.4863257093853992
2012-04-01,3.5,2.47744633235021,R,6.941839384225787,Mar - May,2012-04-01,2012-05-01,87.6,86.6,88.3,5.875299760191854,6.6502463054187055,6.103286384976525,0.814901047729899,2012-03-01,2012-05-01,2012-04,2.47744633235021,Aumento,central,False,,0.5,-1.308160615774213
2012-05-01,3.1,3.22218433051953,R,6.781292194200803,Abr - Jun,2012-05-01,2012-06-01,88.0,86.6,87.23333333333333,6.468673718470308,6.6502463054187055,6.08695652173914,0.0,2012-04-01,2012-06-01,2012-05,3.22218433051953,Aumento,central,False,,0.10000000000000009,-1.4687078057991974
2012-06-01,2.7,3.28974755516835,R,6.664966941483437,May - Jul,2012-06-01,2012-07-01,86.1,87.0,85.7,6.857855361595999,7.274969173859436,6.253882791468213,0.46189376443419583,2012-05-01,2012-07-01,2012-06,3.28974755516835,Aumento,central,False,,-0.2999999999999998,-1.5850330585165633
2012-07-01,2.5,3.73247634460869,R,6.538428983206723,Jun - Ago,2012-07-01,2012-08-01,83.0,87.5,85.26666666666667,7.2986577181207934,7.626076260762615,6.427423674343857,0.5747126436781658,2012-06-01,2012-08-01,2012-07,3.73247634460869,Aumento,central,False,,-0.5,-1.7115710167932772
2012-08-01,2.6,3.84083087600089,R,6.576295394539566,Jul - Sep,2012-08-01,2012-09-01,86.7,87.6,84.13333333333334,6.632868610054943,7.090464547677255,6.537681385551575,0.11428571428571122,2012-07-01,2012-09-01,2012-08,3.84083087600089,Aumento,central,False,,-0.3999999999999999,-1.6737046054604336
2012-09-01,2.8,3.27804797749041,R,6.694933329534634,Ago - Oct,2012-09-01,2012-10-01,82.7,87.2,86.39999999999999,6.3602790315962165,6.341463414634152,6.378543635352973,-0.45662100456620447,2012-08-01,2012-10-01,2012-09,3.27804797749041,Aumento,central,False,,-0.20000000000000018,-1.555066670465366
2012-10-01,2.9,3.27521744575743,R,6.359724060404341,Sep - Nov,2012-10-01,2012-11-01,89.8,87.5,88.03333333333335,5.936622543120751,5.8041112454655375,6.407066434436426,0.34403669724769603,2012-09-01,2012-11-01,2012-10,3.27521744575743,Aumento,central,False,,-0.10000000000000009,-1.890275939595659
2012-11-01,2.1,4.25949366737417,R,6.224655687987238,Oct - Dic,2012-11-01,2012-12-01,91.6,88.1,92.03333333333335,5.542813455657503,6.144578313253013,6.369355201078397,0.6857142857142895,2012-10-01,2012-12-01,2012-11,4.25949366737417,Aumento,central,False,,-0.8999999999999999,-2.025344312012762
2012-12-01,1.5,4.74652585819477,R,6.11954959269305,Nov - Ene,2012-12-01,2013-01-01,94.7,88.2,90.96666666666665,5.001923816852605,4.255319148936176,6.155727680391343,0.11350737797957144,2012-11-01,2013-01-01,2012-12,4.74652585819477,Aumento,central,False,1.5,-1.5,-2.1304504073069497
2013-01-01,1.6,4.31147035684567,R,6.354761938598117,Dic - Feb,2013-01-01,2013-02-01,86.6,88.8,87.86666666666667,4.1485578822599845,5.088757396449695,4.969696969696957,0.6802721088435382,2012-12-01,2013-02-01,2013-01,4.31147035684567,Aumento,central,False,,-1.4,-1.8952380614018827
2013-02-01,1.3,4.49986167010912,R,6.426108908384523,Ene - Mar,2013-02-01,2013-03-01,82.3,88.3,87.26666666666667,4.1368337311058045,3.638497652582151,4.1949413942010905,-0.5630630630630629,2013-01-01,2013-03-01,2013-02,4.49986167010912,Aumento,central,False,,-1.7,-1.8238910916154767
2013-03-01,1.5,4.30236985262964,R,6.539010041466435,Feb - Abr,2013-03-01,2013-04-01,92.9,89.0,88.86666666666667,3.9376218323586842,3.608847497089629,4.136833731105827,0.7927519818799578,2013-02-01,2013-04-01,2013-03,4.30236985262964,Aumento,central,False,,-1.5,-1.710989958533565
2013-04-01,1.0,5.13077191351257,R,6.541235681319828,Mar - May,2013-04-01,2013-05-01,91.4,89.1,91.66666666666667,3.812759531898835,2.886836027713624,4.188790560471967,0.11235955056179137,2013-03-01,2013-05-01,2013-04,5.13077191351257,Aumento,central,False,,-2.0,-1.7087643186801724
2013-05-01,0.9,5.01273472134738,R,6.260540693535817,Abr - Jun,2013-05-01,2013-06-01,90.7,89.2,90.23333333333335,3.4390523500191117,3.002309468822184,3.957845433255258,0.11223344556678949,2013-04-01,2013-06-01,2013-05,5.01273472134738,Aumento,central,False,,-2.1,-1.989459306464183
2013-06-01,1.9,3.78111873924685,R,5.883151980840591,May - Jul,2013-06-01,2013-07-01,88.6,89.9,88.26666666666665,2.994943601711375,3.3333333333333437,3.780939388033522,0.7847533632286963,2013-05-01,2013-07-01,2013-06,3.78111873924685,Aumento,central,False,,-1.1,-2.3668480191594092
2013-07-01,2.2,2.89780391823808,R,5.848962595942404,Jun - Ago,2013-07-01,2013-08-01,85.5,90.0,87.7,2.8537920250195414,2.857142857142847,3.673880221439352,0.11123470522802492,2013-06-01,2013-08-01,2013-07,2.89780391823808,Aumento,central,False,,-0.7999999999999998,-2.401037404057596
2013-08-01,2.2,3.43255316615911,R,5.860496691363856,Jul - Sep,2013-08-01,2013-09-01,89.0,90.1,86.60000000000001,2.9318541996830483,2.8538812785388057,3.5442296426479336,0.11111111111110628,2013-07-01,2013-09-01,2013-08,3.43255316615911,Aumento,central,False,,-0.7999999999999998,-2.3895033086361437
2013-09-01,2.0,3.79225635646867,R,5.952664425109557,Ago - Oct,2013-09-01,2013-10-01,85.3,89.8,88.86666666666667,2.8549382716049676,2.9816513761467878,3.500979751796196,-0.33296337402884957,2013-08-01,2013-10-01,2013-09,3.79225635646867,Aumento,central,False,,-1.0,-2.297335574890443
2013-10-01,1.5,3.96661390707826,R,5.864836875672645,Sep - Nov,2013-10-01,2013-11-01,92.3,90.3,90.7,3.0291556228701166,3.200000000000003,3.4256985852917143,0.556792873051215,2013-09-01,2013-11-01,2013-10,3.96661390707826,Aumento,central,False,,-1.5,-2.385163124327355
2013-11-01,2.4,2.9251401649742,R,5.781731968928167,Oct - Dic,2013-11-01,2013-12-01,94.5,90.7,94.59999999999998,2.7888446215139195,2.951191827468791,3.400570281972759,0.44296788482836025,2013-10-01,2013-12-01,2013-11,2.9251401649742,Aumento,central,False,,-0.6000000000000001,-2.4682680310718332
