fecha,ipc_indice_original,ipc_mensual_original,ipc_anual_original,ipc_indice_sa,ipc_tendencia,ipc_factor_estacional,ipc_irregular,ipc_mensual_sa,ipc_anual_sa,ipc_anual_original_calculada
2009-12-01,57.31,,,57.3814160504457,57.4033188860805,0.99875541498692,0.999618439559596,,,
2010-01-01,57.61,0.5,,57.6383247298145,57.6202535322263,0.999508578190861,1.00031362579094,0.44772105160830744,,
2010-02-01,57.77,0.3,,57.8166146862715,57.759432356545,0.999193749296384,1.00099000851278,0.30932536171506264,,
2010-03-01,57.82,0.1,,57.7615492481702,57.8402370737552,1.00101193185762,0.998639565991326,-0.09524154674240837,,
2010-04-01,58.09,0.5,,58.0245010074081,58.0169035658716,1.00112881612861,1.0001309522065,0.45523668021461017,,
2010-05-01,58.3,0.4,,58.2595057773021,58.2284174991119,1.00069506636141,1.00053390216539,0.40500954909374887,,
2010-06-01,58.3,0.0,,58.3670448583488,58.4286395251883,0.998851323404987,0.998945813776601,0.1845863256337399,,
2010-07-01,58.67,0.6,,58.7139595185172,58.6289317744133,0.999251293578603,1.00145026937265,0.5943673540613981,,
2010-08-01,58.62,-0.1,,58.7085986261824,58.7405217860901,0.99849087479082,0.999456539388193,-0.009130524288880615,,
2010-09-01,58.85,0.4,,58.8208601998757,58.7828594286912,1.00049539908164,1.00064646006598,0.19121828202390834,,
2010-10-01,58.91,0.1,,58.779929632694,58.8248679552006,1.00221283639022,0.999236065900891,-0.06958512174527476,,
2010-11-01,58.95,0.1,,58.9264411391437,58.928558942331,1.00039980118264,0.999964061514054,0.24925430732092302,,
2010-12-01,59.02,0.1,,59.0928139603723,59.0777697346381,0.998767803468944,1.00025465121317,0.2823398427129531,2.9824950789329785,2.9837724655382925
2011-01-01,59.18,0.3,2.7,59.2103216265662,59.2147961608361,0.999487899647676,0.999924435537061,0.19885271713866448,2.7273466120339096,2.7252213157437977
2011-02-01,59.31,0.2,2.7,59.35920161765,59.4058241305614,0.999171120629841,0.999215186160721,0.2514426319498497,2.668068581581595,2.665743465466508
2011-03-01,59.77,0.8,3.4,59.707053457929,59.6650570615612,1.00105425638053,1.00070386920647,0.5860116558164208,3.3681648693320465,3.372535454859915
2011-04-01,59.96,0.3,3.2,59.8921143119708,59.9131844676167,1.00113346621352,0.999648321887193,0.30994806027766497,3.2186632752331024,3.2191427095885627
2011-05-01,60.2,0.4,3.3,60.1603233726751,60.1472975502804,1.0006595148613,1.00021656538074,0.4478203245710022,3.262673738838262,3.2590051457976
2011-06-01,60.3,0.2,3.4,60.3708562232776,60.334740205765,0.998826317403624,1.00059859406686,0.3499529902761811,3.433121155597063,3.430531732418518
2011-07-01,60.38,0.1,2.9,60.4304887111283,60.4487271540194,0.999164515922259,0.999698282432901,0.0987769456675558,2.9235452806921414,2.914607124595192
2011-08-01,60.47,0.2,3.2,60.5629698352736,60.5753307337503,0.998464906269847,0.999795941708827,0.21922894712731456,3.1586024066059037,3.1559194814056557
2011-09-01,60.78,0.5,3.3,60.750422474967,60.7469861711959,1.0004868694542,1.00005656747746,0.309516921318842,3.280404721275021,3.2795242141036463
2011-10-01,61.07,0.5,3.7,60.9311244781276,60.9598548549259,1.00227922138417,0.999528700045846,0.29744978849333137,3.6597438256154025,3.666610083177746
2011-11-01,61.26,0.3,3.9,61.2317222853891,61.2787546364198,1.00046181478416,0.999232485201278,0.49334032456500587,3.912133673238327,3.9185750636132166
2011-12-01,61.64,0.6,4.4,61.7143311771327,61.6004807931977,0.998795560517065,1.00184820609302,0.7881680830309712,4.436270742697057,4.439173161640109
2012-01-01,61.69,0.1,4.2,61.7204609728409,61.7903634097515,0.999506468805308,0.998868716203415,0.009932532025014318,4.239361106845374,4.241297735721528
2012-02-01,61.93,0.4,4.4,61.9812269631382,61.9169764604105,0.999173508404912,1.00103768798802,0.4224952085371658,4.417218011753987,4.417467543415943
2012-03-01,62.03,0.2,3.8,61.9612462697903,61.9779607193625,1.00110962471462,0.999730316238576,-0.032236685730313575,3.77542129666415,3.7811611176175264
